question,generated_answer,ground_truth,qcas,embedding_qcas,trs,hoi,cl,verdict,reliability_score,reliability_label
"Determine whether the following health claim is true or false:

Ted Cruz Says Democrats are embracing “abortion up until the moment of birth and even, horrifically, after that.”",The health claim made by Ted Cruz is FALSE. The context and definitions provided do not support his claim that Democrats support abortion up until the moment of birth and even after that.,false,6.57,0.657,0.667,1,3,SUPPORTED,0.704,QUESTIONABLE
"Determine whether the following health claim is true or false:

A video shows a sick, possibly starving polar bear on Baffin Island in the Canadian Arctic.","The health claim that the polar bear is starving due to climate change is FALSE. While the bear is indeed starving, the context suggests that the cause of its condition is more complex and may be related to old age, injury, disease, or other factors.",true,6.4,0.64,0.833,2,2,SUPPORTED,0.756,QUESTIONABLE
"Determine whether the following health claim is true or false:

“On February 7, the WHO warned about the limited stock of PPE. That same day, the Trump administration announced it was sending 18 tons of masks, gowns and respirators to China.”","The claim that the US gave away medical supplies that are now sorely needed at home is partially true. The Trump administration did send 18 tons of masks, gowns, and respirators to China on February 7, the same day the WHO warned about the limited stock of PPE. However, the context does not provide direct evidence that this shipment is the cause of the PPE shortages in the US.",true,6.39,0.639,0.833,2,2,SUPPORTED,0.755,QUESTIONABLE
"Determine whether the following health claim is true or false:

Drug Policy Alliance Says Debbie Wasserman Schultz ""voted repeatedly to send terminally ill patients to prison.",The health claim is FALSE.,false,6.2,0.62,0.75,1,3,SUPPORTED,0.72,QUESTIONABLE
"Determine whether the following health claim is true or false:

Claims of virgin births in U.S. near 1 percent: study.","The health claim ""Claims of virgin births in U.S. near 1 percent: study"" is TRUE.",true,6.16,0.616,1.0,,0,SUPPORTED,0.816,RELIABLE
"Determine whether the following health claim is true or false:

Scientists grow viable vaginas from girls' own cells.","The health claim ""Scientists grow viable vaginas from girls' own cells"" is TRUE.",true,6.0,0.6,1.0,,0,SUPPORTED,0.81,RELIABLE
"Determine whether the following health claim is true or false:

New blood test may predict cardiovascular events in patients with or without coronary artery disease, research shows","The health claim that a new blood test may predict cardiovascular events in patients with or without coronary artery disease is TRUE, but with significant caveats and limitations. The test may have potential benefits, but its effectiveness and utility are still uncertain and require further research.",mixture,6.49,0.649,0.917,3,1,SUPPORTED,0.787,QUESTIONABLE
"Determine whether the following health claim is true or false:

Estrogen Patch in Newly Postmenopausal Women May Reduce Alzheimer’s Risk","The health claim ""Estrogen Patch in Newly Postmenopausal Women May Reduce Alzheimer’s Risk"" is FALSE. While the study found an association between estrogen patch use and reduced amyloid depositions, the sample size was too small to be meaningful, and the relationship between amyloid levels and Alzheimer's disease is still unclear.",mixture,7.96,0.796,0.917,3,1,SUPPORTED,0.839,RELIABLE
"Determine whether the following health claim is true or false:

High ambitions: Uruguay cannabis firm targets booming global market for medical marijuana.",Insufficient information in the provided context.,true,6.56,0.656,0.25,1,3,UNSUPPORTED,0.308,UNRELIABLE
"Determine whether the following health claim is true or false:

County board votes to evict Planned Parenthood health clinic.",True,true,5.87,0.587,1.0,,0,SUPPORTED,0.805,RELIABLE
"Determine whether the following health claim is true or false:

Consuming tainted lettuce caused more deaths in 2018 than homicides perpetrated by undocumented immigrants. ","The health claim ""Consuming tainted lettuce caused more deaths in 2018 than homicides perpetrated by undocumented immigrants"" is FALSE.",false,7.78,0.778,1.0,,0,SUPPORTED,0.872,RELIABLE
"Determine whether the following health claim is true or false:

 A warning about a chemical   called benzene that is linked to cancer such as leukemia .  The   warning says that benzene can build up inside parked automobiles and   suggests that drivers roll down   their windows to ventilate the car’s interior prior to switching on   the air conditioner.      ",The health claim is FALSE.,false,7.11,0.711,0.583,1,3,SUPPORTED,0.694,QUESTIONABLE
"Determine whether the following health claim is true or false:

Increasing numbers of vaccines are associated with increasing rates of autism.","The health claim ""Increasing numbers of vaccines are associated with increasing rates of autism"" is FALSE.",false,6.76,0.676,1.0,,0,SUPPORTED,0.837,RELIABLE
"Determine whether the following health claim is true or false:

Rick Scott Says his tax and fee cuts will save households ""$540 over two years.","The health claim is FALSE. The correct average household savings over two years is around $267, not $540.",false,6.75,0.675,0.917,1,3,SUPPORTED,0.798,QUESTIONABLE
"Determine whether the following health claim is true or false:

Viscosupplementation Recommended For Appropriate Patients with Knee Osteoarthritis","The health claim ""Viscosupplementation Recommended For Appropriate Patients with Knee Osteoarthritis"" is FALSE. The evidence provided by the AMSSM is not supported by other credible sources, such as the AAOS, and a meta-analysis of clinical trials suggests that viscosupplementation has a small and clinically irrelevant benefit and an increased risk for serious adverse events.",false,7.71,0.771,1.0,,0,SUPPORTED,0.87,RELIABLE
"Determine whether the following health claim is true or false:

Health officials have seen a surge in the number of people using ""bug spray"" to get high.","The health claim that health officials have seen a surge in the number of people using ""bug spray"" to get high is FALSE.",false,5.92,0.592,0.917,1,3,SUPPORTED,0.769,QUESTIONABLE
"Determine whether the following health claim is true or false:

Georgia shelter quarantines dog area for parvovirus.",The health claim is TRUE.,true,6.74,0.674,1.0,,0,SUPPORTED,0.836,RELIABLE
"Determine whether the following health claim is true or false:

China reports one more H7N9 bird flu death.","The health claim ""China reports one more H7N9 bird flu death"" is true.",true,6.91,0.691,1.0,,0,SUPPORTED,0.842,RELIABLE
"Determine whether the following health claim is true or false:

The school shooting rate in non-Christian Japan is vastly lower than that of mostly Christian Texas.",The health claim is TRUE.,true,7.03,0.703,1.0,,0,SUPPORTED,0.846,RELIABLE
"Determine whether the following health claim is true or false:

Recall: Nearly 57 tons of ground beef for possible E coli.",The health claim that nearly 57 tons of ground beef were recalled for possible E coli contamination is TRUE.,true,6.34,0.634,0.833,2,2,SUPPORTED,0.753,QUESTIONABLE
"Determine whether the following health claim is true or false:

Within the three miles surrounding the University Circle area, infant mortality exceeds some Third World countries.","The health claim ""Within the three miles surrounding the University Circle area, infant mortality exceeds some Third World countries"" is TRUE.",true,5.84,0.584,1.0,,0,SUPPORTED,0.804,RELIABLE
"Determine whether the following health claim is true or false:

Immune-Focused Drug May Be New Weapon Against Advanced Melanoma",Insufficient information in the provided context.,true,6.92,0.692,0.75,1,3,UNSUPPORTED,0.496,UNRELIABLE
